slug,name,location_name,address,zone,phone,email,website_url,instagram_url,image_url,latitude,longitude,short_description,full_description,active,source,metadata,orden_base,categoria
ushuaia,Ushuaïa,Playa d'en Bossa,"Ctra. Playa d'en Bossa, 07800",playa-den-bossa,+34973311111,info@ushuaiaibiza.com,https://ushuaiaibiza.com,ushuaiaibiza,https://images.ibizaglam.app/ushuaia.jpg,38.8765,1.4012,"El hotel-club más famoso del mundo","El icónico Ushuaïa Ibiza es conocido por sus fiestas al aire libre y piscina.",true,manual,{},1,SUPERCLUB
hi-ibiza,Hï Ibiza,Playa d'en Bossa,"Playa d'en Bossa, 07817",playa-den-bossa,+34973311112,info@hiibiza.com,https://hiibiza.com,hiibiza,https://images.ibizaglam.app/hiibiza.jpg,38.8765,1.4012,"Mejor club del mundo 2024","Hï Ibiza, heredero del legendario Space, ofrece experiencias únicas.",true,manual,{},2,SUPERCLUB
pacha,Pacha,Ibiza ciudad,"Av. 8 d'Agost, 07800",ibiza-ciudad,+34973311113,info@pacha.com,https://pacha.com,pachaibiza,https://images.ibizaglam.app/pacha.jpg,38.9081,1.4325,"El icónico desde 1973","Pacha es el club más emblemático de Ibiza con sus famosas cerezas.",true,manual,{},3,SUPERCLUB
amnesia,Amnesia,San Rafael,"Ctra. Ibiza a San Rafael, 07816",san-rafael,+34973311114,info@amnesia.es,https://amnesia.es,amnesiaibiza,https://images.ibizaglam.app/amnesia.jpg,38.9625,1.4231,"La Terraza más legendaria","Amnesia es conocida por sus dos salas: La Terraza y La Sala.",true,manual,{},4,SUPERCLUB
unvrs,UNVRS,San Rafael,"Ctra. Ibiza a San Rafael, 07816",san-rafael,+34973311115,info@unvrs.com,https://unvrs.com,unvrsibiza,https://images.ibizaglam.app/unvrs.jpg,38.9625,1.4231,"El nuevo hiperclub","UNVRS es el club más grande y tecnológico de Ibiza.",true,manual,{},5,SUPERCLUB
dc10,DC-10,Sant Josep,"Ctra. Aeropuerto, 07817",sant-josep,+34973311116,info@dc10ibiza.com,https://dc10ibiza.com,dc10ibiza,https://images.ibizaglam.app/dc10.jpg,38.8722,1.3819,"Circoloco","DC-10 es la meca de la música underground con su famoso Circoloco.",true,manual,{},6,SUPERCLUB
eden,Eden,San Antonio,"C. Salvador Espriu, 07820",san-antonio,+34973311117,info@edenibiza.com,https://edenibiza.com,edenibiza,https://images.ibizaglam.app/eden.jpg,38.9805,1.3062,"Referente en San Antonio","Eden es uno de los clubs históricos de San Antonio.",true,manual,{},7,SUPERCLUB
lio,Lío,Marina Ibiza,"Passeig Joan Carles I, 07800",marina-ibiza,+34973311118,info@liolive.com,https://liolive.com,lio_ibiza,https://images.ibizaglam.app/lio.jpg,38.9081,1.4325,"Cabaret y fiesta","Lío combina cena, cabaret y fiesta en un mismo lugar.",true,manual,{},8,BOUTIQUE
cova-santa,Cova Santa,Sant Josep,"Ctra. Cala Tarida, 07830",sant-josep,+34973311119,info@covasanta.com,https://covasanta.com,covasanta,https://images.ibizaglam.app/covasanta.jpg,38.9422,1.2675,"Fiesta en cueva","Cova Santa ofrece experiencias únicas en un entorno natural.",true,manual,{},9,BOUTIQUE
chinois,Chinois,Marina Ibiza,"Marina Ibiza, 07800",marina-ibiza,+34973311120,info@chinoisibiza.com,https://chinoisibiza.com,chinoisibiza,https://images.ibizaglam.app/chinois.jpg,38.9081,1.4325,"Elegante y asiático","Chinois fusiona gastronomía asiática y música en Marina Ibiza.",true,manual,{},10,BOUTIQUE
destino,Destino,Cap Martinet,"Cami de sa Torre, 07800",cap-martinet,+34973311121,info@destinoibiza.com,https://destinoibiza.com,DestinoIbiza,https://images.ibizaglam.app/destino.jpg,38.9194,1.4622,"Vistas espectaculares","Destino es un resort con fiestas y vistas increíbles.",true,manual,{},11,BOUTIQUE
o-beach,O Beach,San Antonio,"Ctra. Cala de Bou, 07820",san-antonio,+34973311122,info@obeachibiza.com,https://obeachibiza.com,obeachibiza,https://images.ibizaglam.app/obeach.jpg,38.9722,1.2961,"Pool party","O Beach es el rey de las pool parties en Ibiza.",true,manual,{},12,BOUTIQUE
pikes,Pikes,San Antonio,"Cami de sa Mula, 07820",san-antonio,+34973311123,info@pikesibiza.com,https://pikesibiza.com,pikesibiza,https://images.ibizaglam.app/pikes.jpg,38.9794,1.3153,"Hotel con historia","Pikes es un hotel mítico con after hours y ambiente único.",true,manual,{},13,BOUTIQUE
528,528 Ibiza,Benimussa,"Ctra. Benimussa, 07820",benimussa,+34973311124,info@528ibiza.com,https://528ibiza.com,528ibiza,https://images.ibizaglam.app/528.jpg,38.9542,1.3425,"After parties oficiales","528 es conocido por sus after parties de los clubs principales.",true,manual,{},14,BOUTIQUE
sankeys,Sankeys,Ibiza ciudad,"C. Constitució, 07800",ibiza-ciudad,+34973311125,info@sankeysibiza.com,https://sankeysibiza.com,sankeysibiza,https://images.ibizaglam.app/sankeys.jpg,38.9056,1.4322,"Música de verdad","Sankeys es el templo de la música electrónica más auténtica.",true,manual,{},15,UNDERGROUND
akasha,Akasha (Las Dalias),San Carlos,"Ctra. San Carlos, 07850",san-carlos,+34973311126,info@lasdalias.es,https://lasdalias.es,lasdaliasibiza,https://images.ibizaglam.app/akasha.jpg,39.0111,1.5653,"Bohemio y hippie","Akasha está dentro del mercado hippie Las Dalias, con música alternativa.",true,manual,{},16,UNDERGROUND
es-paradis,Es Paradis,San Antonio,"C. Salvador Espriu, 07820",san-antonio,+34973311127,info@esparadis.com,https://esparadis.com,esparadis,https://images.ibizaglam.app/esparadis.jpg,38.9803,1.3064,"Piscina cubierta más grande","Es Paradis tiene la piscina cubierta más grande de Europa.",true,manual,{},17,UNDERGROUND
playa-soleil,Playa Soleil,Playa d'en Bossa,"Playa d'en Bossa, 07817",playa-den-bossa,+34973311128,info@playasoleil.com,https://playasoleil.com,playasoleil,https://images.ibizaglam.app/playasoleil.jpg,38.8765,1.4012,"Beach club de día, fiesta de noche","Playa Soleil ofrece un ambiente chic durante el día y fiesta por la noche.",true,manual,{},18,UNDERGROUND
vybe,Vybe,Puerto Ibiza,"Moll de Ponent, 07800",puerto-ibiza,+34973311129,info@vybeibiza.com,https://vybeibiza.com,vybeibiza,https://images.ibizaglam.app/vybe.jpg,38.9056,1.4431,"Tecnológico y moderno","Vybe es el nuevo club tecnológico en el puerto de Ibiza.",true,manual,{},19,EMERGENTE
swag,Swag,Playa d'en Bossa,"Playa d'en Bossa, 07817",playa-den-bossa,+34973311130,info@swagibiza.com,https://swagibiza.com,swagibiza,https://images.ibizaglam.app/swag.jpg,38.8765,1.4012,"Hip-hop y reggaetón","Swag es la nueva propuesta de música urbana en Ibiza.",true,manual,{},20,EMERGENTE
